Teacher #,Hypothesis Space,Type,Trial,Posterior
14,simple_d4,Non-Recursive + Dependent,11,0.9999999999999992
15,simple_d4,Recursive + Dependent,7,0.03846153846153845
15,simple_d4,Non-Recursive + Dependent,7,0.038461538459883544
16,simple_d4,Recursive + Dependent,8,1.0
16,simple_d4,Non-Recursive + Dependent,8,0.9999999977527305
17,simple_d4,Recursive + Dependent,10,1.0
17,simple_d4,Non-Recursive + Dependent,10,0.9999999999936294
18,simple_d4,Recursive + Dependent,16,1.0
18,simple_d4,Non-Recursive + Dependent,16,1.0
19,simple_d4,Recursive + Dependent,3,0.166666654857864
19,simple_d4,Non-Recursive + Dependent,3,0.14173028820010872
20,simple_d4,Recursive + Dependent,5,1.0
20,simple_d4,Non-Recursive + Dependent,5,0.9999516574746478
1,simple_d5,Recursive + Dependent,4,0.33333333333327897
1,simple_d5,Non-Recursive + Dependent,4,0.3166394540711734
2,simple_d5,Recursive + Dependent,5,1.0
2,simple_d5,Non-Recursive + Dependent,5,0.666762440334245
3,simple_d5,Recursive + Dependent,6,1.0
3,simple_d5,Non-Recursive + Dependent,6,0.9998380330075652
4,simple_d5,Recursive + Dependent,5,1.0
4,simple_d5,Non-Recursive + Dependent,5,0.997939155323555
5,simple_d5,Recursive + Dependent,3,0.9999998937207789
5,simple_d5,Non-Recursive + Dependent,3,0.7794121647517719
6,simple_d5,Recursive + Dependent,5,0.16666666666666669
6,simple_d5,Non-Recursive + Dependent,5,0.16666219047314793
7,simple_d5,Recursive + Dependent,5,0.16666666666666669
7,simple_d5,Non-Recursive + Dependent,5,0.16666643098283623
8,simple_d5,Recursive + Dependent,12,1.0
8,simple_d5,Non-Recursive + Dependent,12,1.0
9,simple_d5,Recursive + Dependent,20,1.0
9,simple_d5,Non-Recursive + Dependent,20,1.0
10,simple_d5,Recursive + Dependent,5,1.0
10,simple_d5,Non-Recursive + Dependent,5,0.9996353180150198
11,simple_d5,Recursive + Dependent,7,1.0
11,simple_d5,Non-Recursive + Dependent,7,0.9999978744197828
12,simple_d5,Recursive + Dependent,5,1.0
12,simple_d5,Non-Recursive + Dependent,5,0.9996278833609984
13,simple_d5,Recursive + Dependent,8,1.0
13,simple_d5,Non-Recursive + Dependent,8,0.9999999149764511
14,simple_d5,Recursive + Dependent,11,1.0
14,simple_d5,Non-Recursive + Dependent,11,0.9999999999999992
15,simple_d5,Recursive + Dependent,7,0.037037037037037056
15,simple_d5,Non-Recursive + Dependent,7,0.037037037035502436
16,simple_d5,Recursive + Dependent,8,1.0
16,simple_d5,Non-Recursive + Dependent,8,0.9999999977527306
17,simple_d5,Recursive + Dependent,10,1.0
17,simple_d5,Non-Recursive + Dependent,10,0.9999999999936294
18,simple_d5,Recursive + Dependent,16,1.0
18,simple_d5,Non-Recursive + Dependent,16,1.0
19,simple_d5,Recursive + Dependent,3,0.1666666542674239
19,simple_d5,Non-Recursive + Dependent,3,0.140677995375538
20,simple_d5,Recursive + Dependent,5,1.0
20,simple_d5,Non-Recursive + Dependent,5,0.9999512536526217
1,complex_d2,Recursive + Dependent,4,0.11111111111108095
1,complex_d2,Non-Recursive + Dependent,4,0.10214855275813851
2,complex_d2,Recursive + Dependent,5,0.07692307692307693
2,complex_d2,Non-Recursive + Dependent,5,0.07259115828648846
3,complex_d2,Recursive + Dependent,6,0.14285714285714288
3,complex_d2,Non-Recursive + Dependent,6,0.14285047949436525
4,complex_d2,Recursive + Dependent,5,0.25
4,complex_d2,Non-Recursive + Dependent,5,0.24839331980135534
5,complex_d2,Recursive + Dependent,3,0.11111110743726127
5,complex_d2,Non-Recursive + Dependent,3,0.10223115019144248
6,complex_d2,Recursive + Dependent,5,0.043478260869565216
6,complex_d2,Non-Recursive + Dependent,5,0.043477982927019584
7,complex_d2,Recursive + Dependent,5,0.04166666666666664
7,complex_d2,Non-Recursive + Dependent,5,0.041666651079893154
8,complex_d2,Recursive + Dependent,12,0.25
8,complex_d2,Non-Recursive + Dependent,12,0.24999997342631033
9,complex_d2,Recursive + Dependent,20,1.0
9,complex_d2,Non-Recursive + Dependent,20,0.9999999977563437
10,complex_d2,Recursive + Dependent,5,0.14285714285714285
10,complex_d2,Non-Recursive + Dependent,5,0.13666671469823802
11,complex_d2,Recursive + Dependent,7,0.1111111111111111
11,complex_d2,Non-Recursive + Dependent,7,0.11111103763404362
12,complex_d2,Recursive + Dependent,5,0.14285714285714285
12,complex_d2,Non-Recursive + Dependent,5,0.13666662561798587
13,complex_d2,Recursive + Dependent,8,1.0
13,complex_d2,Non-Recursive + Dependent,8,0.9473682110936454
14,complex_d2,Recursive + Dependent,11,1.0
14,complex_d2,Non-Recursive + Dependent,11,0.9024868413855095
15,complex_d2,Recursive + Dependent,7,0.023809523809523815
15,complex_d2,Non-Recursive + Dependent,7,0.023809523809523767
16,complex_d2,Recursive + Dependent,8,1.0
16,complex_d2,Non-Recursive + Dependent,8,0.988754732339588
17,complex_d2,Recursive + Dependent,10,1.0
17,complex_d2,Non-Recursive + Dependent,10,0.9473618384782075
18,complex_d2,Recursive + Dependent,16,0.19999999999999998
18,complex_d2,Non-Recursive + Dependent,16,0.19587628865741546
19,complex_d2,Recursive + Dependent,3,0.0416666660024215
19,complex_d2,Non-Recursive + Dependent,3,0.04007876684313238
20,complex_d2,Recursive + Dependent,5,0.11111111111111109
20,complex_d2,Non-Recursive + Dependent,5,0.10975851222501455
